cluster,latitude,longitude,calculatedCourse
0,40.503050922573365,-74.4497666119639,308.9611280635033
1,40.49774598391407,-74.44491069849839,123.70555337683734
2,40.49492926056338,-74.44482050774648,40.6358691646072
3,40.49546215497006,-74.44545099449101,221.27399951535142
4,40.500425454712044,-74.44825843900523,173.0529685346921
5,40.50596972356688,-74.4533893150743,276.5470770645479
6,40.510926115455945,-74.45522951406491,334.58467999337086
7,40.50028419020408,-74.44865993510204,14.471048093819606
8,40.50408363695652,-74.45030007427536,84.22439506671897
9,40.51055867569444,-74.45587078310184,251.36524729186192
10,40.506411175000004,-74.45218985932836,153.1507605446813
11,40.51273021651702,-74.45708119902127,106.69920630835114
12,40.501858222911046,-74.44986387331537,203.62344761230688
13,40.49756466434783,-74.44528471999999,52.0395069424141
14,40.49583422410286,-74.44572233682666,294.9919492420457
15,40.5072769923241,-74.4522124466951,339.12068091443484
16,40.50513083255814,-74.45235388921776,268.54964390762234
17,40.502789897900264,-74.45012769002625,314.23443735256024
18,40.50275727434457,-74.44993441554307,135.68408745975984
19,40.50582583978201,-74.4512711160763,69.87434893225186
20,40.50040413670886,-74.44866551063292,231.00030571608028
21,40.51177958207469,-74.45736900670816,288.3316837317085
22,40.50262941792453,-74.45083045707547,356.70021256381506
23,40.50407786539589,-74.45209062316715,187.47282895399553
24,40.4978132123573,-74.44629965066738,114.5493352026821
25,40.50054702646421,-74.44703378308026,163.13935511785584
26,40.48807755216942,-74.43965151601239,45.035046505710675
27,40.49593012393822,-74.44533882818533,28.957980275235407
28,40.50593911102614,-74.4512624454913,329.66188771589833
29,40.50446331805158,-74.45162593581662,237.8125734086411
30,40.501511639583335,-74.44798143419118,303.32078331651155
31,40.502357080925925,-74.45030314537037,216.09510757148854
32,40.50757357852204,-74.45308655451852,99.35766293397354
33,40.5035401590909,-74.45177614504132,3.278109112854652
34,40.50446271198347,-74.45084246219008,324.7233860975236
35,40.50649715035129,-74.45362310421545,180.52173182416672
36,40.498632633610654,-74.44348332961731,344.8122602647725
37,40.506422085685884,-74.45041035487078,57.69649105119024
38,40.503929652019,-74.45057626864607,142.22129238289722
39,40.489805500745,-74.44166844996514,225.69021912739072
40,40.50611090864197,-74.45278412024692,259.55862978451256
41,40.50240418463768,-74.45060642,195.654252832606
42,40.50649318850807,-74.45218601693549,157.8871260483727
43,40.5015335374477,-74.44844689456066,129.53635808299074
44,40.50110402107843,-74.44923653578432,210.02281759486786
45,40.513178385531916,-74.45768219234043,244.74752673828763
46,40.493509795069386,-74.44462469244796,299.9815453626379
47,40.49760688425532,-74.44654647361703,22.07436007942705
48,40.49584704674794,-74.444211175755,119.83764165151466
49,40.50611174885655,-74.45373871143451,282.61001775305954
50,40.50415531580646,-74.45012738225806,77.02548160858477
51,40.50762340520231,-74.45221295375723,63.4902234390068
52,40.487877075111506,-74.43950630499555,47.197247294802814
53,40.4985197973638,-74.44446866660809,167.3369813983104
54,40.5051161669967,-74.45115896138614,91.09195648396738
55,40.502342731914894,-74.45039945053192,8.262552915508808
56,40.5015485508167,-74.44809652323049,148.11088713133861
57,40.49851556666667,-74.44620254074074,349.9622094014577
58,40.49684974035608,-74.44605184866468,35.48563652313322
59,40.50019191615202,-74.44847981472684,319.06201768008276
