cluster,latitude,longitude,calculatedCourse
0,40.49279142822238,-74.44110466940057,265.19145537402136
1,40.4885404729588,-74.43974562958802,116.18510416126733
2,40.48754419152047,-74.43792705409356,57.56775231287125
3,40.49319115290404,-74.4412084746212,310.90334517720106
4,40.48765305756579,-74.44014767023026,188.76163287759528
5,40.49911535693753,-74.44813547147595,136.87614591376408
6,40.50087200874848,-74.44957450814094,238.75325018292335
7,40.49323200630027,-74.4414197810992,333.8797461714719
8,40.49093532626036,-74.43958802074638,77.64491570659942
9,40.48990887036082,-74.43917402706185,17.521498733688762
10,40.49410797058824,-74.44253041320528,291.43540770225536
11,40.49313940232258,-74.44291489935483,154.84191067862832
12,40.4898345954918,-74.44129846311475,215.42524185655554
13,40.486609072141114,-74.43830090839417,45.46894431261193
14,40.48891475714286,-74.43795989793233,355.5419278779178
15,40.49042355101103,-74.44183508368566,147.31346564899263
16,40.48780439733979,-74.43840801825877,91.10953168848526
17,40.4936948890625,-74.44195384829546,278.0510815038232
18,40.494737237726355,-74.44295945075453,300.3876729027528
19,40.49447169977827,-74.44067805676275,341.8441609469423
20,40.492831832156135,-74.44215019070633,255.34993946881696
21,40.492402995126355,-74.44110188104693,169.78943613272403
22,40.48943843906634,-74.44086283046683,202.2018437414193
23,40.4889641375,-74.43838038608696,322.0503668440647
24,40.48576967272064,-74.43935065040117,226.10915104600832
25,40.494920215487035,-74.4446354781037,128.10549621317963
26,40.48827374196532,-74.4383171850867,69.09324946095549
27,40.49264699053254,-74.44253181242604,103.62106576267743
28,40.48807455456638,-74.4401114772832,121.93292367401646
29,40.489221758522724,-74.43821749119319,3.3729069066656736
30,40.48856825625,-74.43851806209676,32.118929432396584
31,40.48624352476394,-74.43963534524627,183.0413369870417
32,40.49269441452915,-74.44182642089686,260.83753207051313
33,40.490977141398446,-74.4401609609323,316.54747656398723
34,40.490752600211415,-74.44201143424947,208.81029453585643
35,40.487000673314604,-74.43782170463483,51.28031190351698
36,40.494077450621475,-74.44235826463277,271.1541261884867
37,40.49187042358711,-74.4416475522186,296.42922405653854
38,40.49804612660615,-74.44415555328212,305.38857960008306
39,40.49157526067416,-74.44122331554307,175.64408173719426
40,40.49644648925619,-74.44565460268595,243.38016295950945
41,40.48773870327754,-74.43733231415621,82.30212469437048
42,40.490637146714036,-74.44126120603907,96.99086906016494
43,40.49154100237797,-74.43927176996246,348.48393612395944
44,40.490777144208934,-74.44178904819405,326.9374115731978
45,40.49368370457256,-74.44375875964214,141.78354071178046
46,40.48941000601093,-74.43877414754098,10.204930388448116
47,40.48760664572865,-74.4383057278057,39.01017782159991
48,40.494998782406874,-74.442337683553,73.5048748373554
49,40.49269184750499,-74.44261360678642,110.1437254192644
50,40.48670018619718,-74.4395039740845,221.81895254610933
51,40.48968435288683,-74.44089574572749,195.80429634278545
52,40.50031760952093,-74.44914988450576,133.9899091326311
53,40.49402504508009,-74.44374886544622,232.60453477973553
54,40.486822218795766,-74.43590754825061,86.57509164318039
55,40.49454858439306,-74.4414195990366,164.2105282554895
56,40.487281540504455,-74.43771370014838,63.57561951379745
57,40.49464699777118,-74.44270993684992,285.17465940120513
58,40.49336296485849,-74.44294252099056,249.21586484069815
59,40.4902563454321,-74.4398828854321,24.763389327321647
