cluster,latitude,longitude
0,40.52355967447368,-74.45803783657895
1,40.49311054402516,-74.43885936352201
2,40.523900822575754,-74.43635479363637
3,40.50448756145149,-74.4500345501306
4,40.48498466052009,-74.43242258865249
5,40.485429140853654,-74.43730458170732
6,40.512994918867925,-74.45860743773585
7,40.49951843623978,-74.4481187746594
8,40.52493557245763,-74.44822242966103
9,40.48090591946107,-74.42912500928144
10,40.5249752,-74.46330719487179
11,40.517045370995675,-74.45394720259739
12,40.47997174097859,-74.43265226513762
13,40.519738069,-74.43381298766667
14,40.52292294684685,-74.44113288558559
15,40.5001791045977,-74.44163949080459
16,40.48935903298969,-74.44143533402062
17,40.50601741515152,-74.45236053636364
18,40.48146322564102,-74.436193
19,40.51921260493827,-74.46186776790124
20,40.50334471439299,-74.45206852340425
21,40.48825422589928,-74.43892521582734
22,40.52523538711732,-74.4512461847486
23,40.50247892162162,-74.44615256959459
24,40.50402749536293,-74.449054878953
25,40.50928584132232,-74.45882465041323
26,40.483152977027025,-74.43887932702702
27,40.525516001477826,-74.45433201921182
28,40.495609917307696,-74.43959881538461
29,40.52290521282051,-74.46535746239316
30,40.525154097278914,-74.43847578265306
31,40.524895687755105,-74.46098353877551
32,40.48300193525836,-74.43746086139816
33,40.522591870253166,-74.43315178164556
34,40.51609959366198,-74.45739910281691
35,40.520481922388065,-74.45120905820895
36,40.49002253846154,-74.43787651758242
37,40.52388503571429,-74.44453848071429
38,40.52077067820513,-74.43746615384616
39,40.499816686979166,-74.44554626510417
40,40.517214625,-74.430188878125
41,40.5034137197479,-74.44759885420169
42,40.4927102627907,-74.44134023953488
43,40.50160536106195,-74.4502608920354
44,40.505704701214576,-74.45370708218623
45,40.52522556481481,-74.45713467407407
46,40.48297172254902,-74.4314150362745
47,40.521812140625,-74.46331298312501
48,40.507133194,-74.45662178100001
49,40.4842297421875,-74.4348087328125
50,40.4967586175,-74.4433739775
51,40.47926279006623,-74.43633206423841
52,40.498350821875,-74.440246544375
53,40.487060261498705,-74.4396862392765
54,40.49193503649852,-74.4428636694362
55,40.523920915333335,-74.46431592133332
56,40.50528385646258,-74.45140079047619
57,40.51733754038462,-74.46068580576923
58,40.52440894952381,-74.45868962619048
59,40.50164030967742,-74.4439659516129
