cluster,latitude,longitude,calculatedCourse
0,40.489630724603174,-74.44115514563492,201.39110329901612
1,40.49831076269901,-74.4448925560273,73.62400953027418
2,40.49350042134089,-74.44400997969782,301.62168893980873
3,40.50063497478028,-74.44939830282767,134.30082773300063
4,40.49380963495575,-74.44461715752212,251.3802361322586
5,40.485801446692825,-74.4381846610426,45.785550682992415
6,40.49497058732591,-74.44054928412255,345.71506686279093
7,40.48574577447403,-74.4389886706591,225.78854316729164
8,40.489128042929295,-74.44085628080808,4.459017021193746
9,40.49197808106061,-74.43985978611111,169.5631248465134
10,40.4914749282353,-74.44195840549018,110.2742008017899
11,40.49471749893617,-74.4443707712766,270.94320566414854
12,40.49086363678161,-74.44128888505747,320.3737248739052
13,40.49083584186472,-74.43981845996345,148.57579054079903
14,40.48817999532063,-74.44043896984402,123.92056172152024
15,40.493224424496645,-74.44303082483222,89.62601657997882
16,40.50100908216613,-74.45019664258957,239.07078365651515
17,40.495781207286434,-74.44489025251256,289.7449015211836
18,40.488006084426225,-74.44014962295083,27.943310766452125
19,40.49006115125786,-74.4403047,59.20760298854538
20,40.48988870223214,-74.44100447901785,187.37637135137786
21,40.48762921861862,-74.43988971531532,215.42589710463116
22,40.49225087787114,-74.44063056414566,333.29645014050396
23,40.491717123214286,-74.44231960515873,295.1535402707035
24,40.49069440809061,-74.441023705178,354.0249339120387
25,40.49598372654155,-74.44480924879356,310.32619527906036
26,40.49174459510703,-74.44076956146789,160.01573790218464
27,40.494712822741434,-74.4445333965732,282.98624495753097
28,40.4942573489426,-74.4428303123867,81.46363518429744
29,40.49398430395778,-74.44323353192611,142.88036448760838
30,40.48861666261398,-74.43932184711247,53.07931380121302
31,40.49168281801242,-74.440965610559,175.08924072010157
32,40.487490780363636,-74.43961416763636,34.56683194927279
33,40.49394904145299,-74.44422731538461,258.77709989700594
34,40.49252335746269,-74.44197323059701,104.32103135742082
35,40.48667463657244,-74.43880415300353,120.06243454441577
36,40.492416049163936,-74.44058424301639,339.8282168734947
37,40.49503133763441,-74.44447190537635,129.33623021548277
38,40.488371743216085,-74.44033056934673,12.72418773452675
39,40.49527772279635,-74.44478784224924,277.0197579063193
40,40.49120019491194,-74.44031093405087,327.05836480329134
41,40.48905252318182,-74.44087419363636,194.43611637439446
42,40.49199647547893,-74.44316263754789,232.05759363399795
43,40.49961360931436,-74.4458582538163,305.86476596889594
44,40.491238431623934,-74.44044025754987,154.34086787425656
45,40.494616125581395,-74.44531764573642,244.5565959412169
46,40.49381673090615,-74.44001351278317,165.05188169227927
47,40.485805720142174,-74.43858392760664,221.60370174247407
48,40.48845695692307,-74.44025220307692,208.6180793409691
49,40.497901253938586,-74.4468385893191,137.72412874776316
50,40.49079151889952,-74.44165645980861,315.48719349078544
51,40.486356864389535,-74.43824963822675,48.32853031591093
52,40.498632565777775,-74.44606239577777,265.3534402374306
53,40.489190550970875,-74.44066373398059,20.1047240259044
54,40.49320487973422,-74.44286132790698,66.55506462098339
55,40.49123900326531,-74.44183010530612,180.54866291165922
56,40.485926952204174,-74.43872594060325,40.61526039441811
57,40.492099251153846,-74.44221000346154,97.33457325872921
58,40.49471184861996,-74.4450450096603,298.6247243176776
59,40.48741570886427,-74.43878174944598,115.8006895128493
