cluster,latitude,longitude,calculatedCourse
0,40.5167737155,-74.45760124688469,105.65528156943606
1,40.513174152153105,-74.45659067488039,281.0379171784579
2,40.517347591968914,-74.45970076839379,44.61093614220977
3,40.51529125052854,-74.45715975475687,217.46356813385532
4,40.51065598514751,-74.45389013245168,331.3769159029461
5,40.507759022657055,-74.45266797899073,138.4486788241322
6,40.513207599022,-74.45713122322738,185.28492716670584
7,40.5043718255,-74.4495805725,73.04032583284753
8,40.50600993734138,-74.45064766586178,297.8542597623176
9,40.515931349561406,-74.45914400416666,245.57475503658887
10,40.51344260331325,-74.45739142650602,4.245676844420616
11,40.51533474705882,-74.45630925969499,159.56994616799656
12,40.51803884584718,-74.45867499435217,25.804060972796524
13,40.514956117120626,-74.46176902626459,261.75190404578564
14,40.51324103292117,-74.45498247387944,125.9499409501281
15,40.515463358110885,-74.45641582977413,92.30417700992015
16,40.51283640571206,-74.45634911494942,348.8456369394875
17,40.51568067513812,-74.45783828494476,231.14730817810383
18,40.51691799009434,-74.45871687028303,54.93395236894003
19,40.50367316297926,-74.45121299473828,134.7419323901207
20,40.511691869672134,-74.45452697581968,308.6836453803231
21,40.514954171662126,-74.45693419564033,202.15647323125017
22,40.51759208427419,-74.46054625215054,287.2799357520447
23,40.519314534292036,-74.46117730884956,39.559538116271185
24,40.51632438587732,-74.45624795492154,115.51946411950131
25,40.516926421487604,-74.4565341696281,151.5687887514897
26,40.51544615886364,-74.45639299840909,168.18373035523712
27,40.51460825859383,-74.45853239004514,82.18642913810872
28,40.51506576303502,-74.45782072451361,11.669184007796002
29,40.51447770084211,-74.4573274328421,324.5230396585145
30,40.51132918742394,-74.45457918681541,69.36997619888136
31,40.51463559644971,-74.45787907485207,341.4877257505459
32,40.51514744716088,-74.45825223753943,236.12597064284893
33,40.51226413582317,-74.45541139039635,99.81296600456461
34,40.51458526350482,-74.4611417421222,266.78137354382153
35,40.519180210040965,-74.4616956720747,35.79790172752484
36,40.51695528142292,-74.45768235,59.135888446530124
37,40.51665814773936,-74.45671936888297,110.40658109249891
38,40.51512864529262,-74.4590606307888,251.28957863543903
39,40.51233165358852,-74.45542369473684,316.1198506108871
40,40.51564261196911,-74.4567586388031,209.87003197395882
41,40.51523741521739,-74.45750616684782,224.91278160569183
42,40.51407313522728,-74.456447095,177.82733398132095
43,40.517030285978834,-74.45924403465608,49.722352812747936
44,40.511133959756094,-74.45466525833334,293.0502365124782
45,40.50860013569869,-74.45321947052402,130.81307133061074
46,40.5147117373882,-74.45593070822898,144.47262175996144
47,40.514836923540486,-74.45992880564972,86.24330039121942
48,40.51241896593886,-74.45634542227074,355.69184249203005
49,40.513626708403365,-74.4565227140056,193.6289005360641
50,40.50765213590361,-74.45199802012048,301.93588897516645
51,40.5110457,-74.45579701766003,274.98630829221406
52,40.51257882981455,-74.45711466519258,240.35352075061678
53,40.51459916304761,-74.461023216,256.90622678219887
54,40.51699944474707,-74.45945905952595,335.92799173049747
55,40.5166127989154,-74.4579376373102,64.16018277402662
56,40.51140700306122,-74.45543099877551,77.41433968207879
57,40.51636093579336,-74.45809642656826,19.123558972383716
58,40.514928245518455,-74.45562002214412,120.72944913016546
59,40.51796866507538,-74.46007878341709,31.737952349664386
