id,name,type,calculatedCourse,routeName,created,longitude,latitude,speed,paxLoad,totalCap,outOfService,more,tripId,deviceId,outdated,routeBlockId,timestamp
13210,4034,,298.61521016649056,EE Route,01:31 PM,-74.436968100,40.485408100,,24,67,0,102,,422694,0,111580,2024-10-24 13:31:50
13214,4038,,305.8596311682567,H Route,01:31 PM,-74.458984800,40.509866100,,25,67,0,102,,422698,0,111638,2024-10-24 13:31:50
13213,4037,,180.89491639491547,REXB Route,01:31 PM,-74.438235500,40.482707300,,18,67,0,102,,422700,0,112510,2024-10-24 13:31:50
13216,4040,,107.59266001510565,B Route,01:31 PM,-74.448155100,40.524852600,,51,67,0,102,,422708,0,113245,2024-10-24 13:31:50
13209,4033,,298.9876420261897,B-He Route,01:31 PM,-74.436282600,40.520099100,,27,67,0,102,,422712,0,111329,2024-10-24 13:31:50
13217,4041,,103.16079780828511,B Route,01:31 PM,-74.461189300,40.524675000,,24,67,0,101,,422714,0,113246,2024-10-24 13:31:50
4862,4180,Transit Bus,302.5500034594569,B Route,01:31 PM,-74.436488100,40.523821500,,65,67,0,101,,428735,0,113250,2024-10-24 13:31:50
15186,0127,,42.46849059570587,B Route,01:31 PM,-74.440037800,40.523723200,,9,67,0,101,,429476,0,113249,2024-10-24 13:31:50
15188,0129,,49.73705158168559,C Route,01:31 PM,-74.464719100,40.523699300,,5,67,0,102,,429478,0,5450,2024-10-24 13:31:50
15189,0130,,48.64007281225338,F Route,01:30 PM,-74.437498600,40.489489000,,2,67,0,102,,429482,0,117894,2024-10-24 13:31:50
15187,0128,,163.2185973123553,EE Route,01:31 PM,-74.440299500,40.497760800,,34,67,0,102,,429484,0,111601,2024-10-24 13:31:50
4855,4131,Transit Bus,206.29493708254867,A Route,01:32 PM,-74.457270300,40.520778000,,17,67,0,102,,402213,0,111528,2024-10-24 13:32:20
4856,4132,Transit Bus,71.07133694238308,EE Route,01:32 PM,-74.447232800,40.499200300,,30,67,0,101,,402215,0,111579,2024-10-24 13:32:20
4859,4177,Transit Bus,183.4165881911689,LX Route,01:32 PM,-74.436353000,40.523735800,,38,67,0,102,,402325,0,111417,2024-10-24 13:32:20
4873,4191,Transit Bus,72.79291283895145,H Route,01:32 PM,-74.446207800,40.499537800,,27,67,0,102,,402329,0,111639,2024-10-24 13:32:20
4876,4194,Transit Bus,169.8244891310262,F Route,01:32 PM,-74.452713300,40.505868800,,27,67,0,102,,402330,0,117891,2024-10-24 13:32:20
17624,4002,Heavy Duty Transit LF,343.30075581082593,REXB Route,01:32 PM,-74.465259800,40.523602300,,25,68,0,101,,402643,0,112511,2024-10-24 13:32:20
4863,4181,Transit Bus,298.76086948605183,LX Route,01:32 PM,-74.440824300,40.522706100,,36,67,0,102,,402645,0,111422,2024-10-24 13:32:20
4853,4129,Transit Bus,76.3869578904663,LX Route,01:32 PM,-74.445452000,40.499747300,,39,67,0,101,,402646,0,111416,2024-10-24 13:32:20
4877,4195,Transit Bus,152.33068038350598,REXL Route,01:32 PM,-74.437062300,40.485332600,,24,67,0,101,,402647,0,111678,2024-10-24 13:32:20
