cluster,latitude,longitude
0,40.505900111933535,-74.45294499244713
1,40.52106131101694,-74.46285230254237
2,40.50341026402877,-74.44789525683453
3,40.5235402497014,-74.4580323185136
4,40.51386689753087,-74.45835835185186
5,40.51445866304348,-74.46633651207729
6,40.49955510479735,-74.44820930678246
7,40.5176335700422,-74.4614518078059
8,40.524538762729065,-74.4638549055271
9,40.517414723735406,-74.45725522684825
10,40.50319853381743,-74.45191307302905
11,40.50695879635037,-74.45632605656935
12,40.51693904324324,-74.45257895202703
13,40.49977151152074,-74.4454061389401
14,40.515312777272726,-74.46112408636364
15,40.51504726594203,-74.46307078937198
16,40.52160151495727,-74.45684377307693
17,40.509585608270676,-74.45901151015038
18,40.50155911574143,-74.45022368343614
19,40.51872350276316,-74.45992746973684
20,40.52272833149474,-74.46561988853158
21,40.52514777737226,-74.4607048919708
22,40.50370341390675,-74.44846849211896
23,40.51639881595506,-74.45917663123595
24,40.523986872139304,-74.45845867253732
25,40.523419775,-74.442712775
26,40.504231421348315,-74.44947131151685
27,40.51192495,-74.458897088
28,40.51695032743903,-74.45501217804878
29,40.50519835740131,-74.45360298585527
30,40.502722585169494,-74.44680667838983
31,40.52491871352657,-74.46228445120774
32,40.52194635281474,-74.46339718700102
33,40.51634750413533,-74.45590282631579
34,40.50747003843138,-74.45750463764706
35,40.49936071882282,-74.4466418733003
36,40.50671948376384,-74.45501429926199
37,40.523897942173484,-74.46429931854436
38,40.50507456724138,-74.4510555637931
39,40.52057303899522,-74.45746527057416
40,40.500744103636364,-74.44939439575758
41,40.52523884285714,-74.45107007142857
42,40.51551819569378,-74.45690412583733
43,40.50432306349206,-74.45303372253967
44,40.52266650573248,-74.45683079076433
45,40.525062082352946,-74.4633825887255
46,40.52460305497076,-74.45903231374268
47,40.5013824863388,-74.44597957868852
48,40.51902513045977,-74.46172301206897
49,40.50373282828746,-74.45246333700307
50,40.514869395495495,-74.46468689774775
51,40.51622242222222,-74.4538007923077
52,40.51802970581656,-74.46121989530201
53,40.50238387314578,-74.45106160255754
54,40.5197253,-74.434983725
55,40.51664962357724,-74.46015820325204
56,40.51701522380953,-74.46198687460317
57,40.51688085919527,-74.45438398801775
58,40.5247107519156,-74.46137274988236
59,40.49916406971831,-74.44725559014084
60,40.51746308275862,-74.45606789808429
61,40.516827425,-74.45820059032258
62,40.5064130513986,-74.45390581153846
63,40.508408300000006,-74.4585301753304
64,40.51493069705882,-74.46378702965686
65,40.51286534919786,-74.4587634
66,40.500070089596605,-74.44871003333334
67,40.52379954800965,-74.45821919559711
68,40.51577776724138,-74.4628775836207
69,40.514560841666665,-74.46607089713115
70,40.52488717999999,-74.44828504
71,40.52343748137931,-74.46524493206897
72,40.51636051614907,-74.46245840621118
73,40.519594996916304,-74.4585952123348
74,40.50653096629834,-74.45234116795581
75,40.5150829590164,-74.46219135655737
76,40.52228805888325,-74.46448765989848
77,40.514771438461544,-74.45771314855769
78,40.524948555555554,-74.45986265454546
79,40.52040584,-74.45109354
80,40.504062445555554,-74.4491101054321
81,40.51071953671497,-74.4590384178744
82,40.51996575113637,-74.46235211988636
83,40.50465480142857,-74.45029553785714
84,40.51714924256757,-74.4608338195946
85,40.500615526541935,-74.44557993378709
86,40.50344962041026,-74.45217599733333
87,40.523087375124376,-74.45733446268656
88,40.49955860183727,-74.44598299448819
89,40.51565718378379,-74.45992912324324
90,40.5147799713693,-74.46550448962655
91,40.499194218947366,-74.44781015473684
92,40.50567540562698,-74.45175928204762
93,40.51734590923077,-74.45344155307693
94,40.525485708333335,-74.4544688
95,40.50309237262872,-74.44733738482384
96,40.518213876536315,-74.46053833798884
97,40.50215190123967,-74.4463831979339
98,40.52424069267677,-74.45876443358586
99,40.51619549310345,-74.45289022586208
